year,cases
2019,3914.4472087943677
2019.0192307692307,3914.16099617142
2019.0384615384614,3913.875127074101
2019.0576923076924,3913.5896078788055
2019.076923076923,3913.304444900122
2019.0961538461538,3913.0196443910577
2019.1153846153845,3912.735212543687
2019.1346153846155,3912.451155489588
2019.1538461538462,3912.1674793003635
2019.173076923077,3911.8841899880294
2019.1923076923076,3911.6012935055405
2019.2115384615386,3911.318795747219
2019.2307692307693,3911.036702549272
2019.25,3910.7550196901825
2019.2692307692307,3910.473752891201
2019.2884615384614,3910.1929078167477
2019.3076923076924,3909.912490074952
2019.326923076923,3909.6325052179227
2019.3461538461538,3909.3529587424064
2019.3653846153845,3909.0738560900186
2019.3846153846155,3908.795202647771
2019.4038461538462,3908.517003748474
2019.423076923077,3908.2392646711974
2019.4423076923076,3907.961990641574
2019.4615384615386,3907.685186832348
2019.4807692307693,3907.408858363729
2019.5,3907.1330103037176
2019.5192307692307,3906.8576476686844
2019.5384615384614,3906.582775423606
2019.5576923076924,3906.3083984825266
2019.576923076923,3906.034521708978
2019.5961538461538,3905.761149916304
2019.6153846153845,3905.4882878680637
2019.6346153846155,3905.2159402785114
2019.6538461538462,3904.944111812783
2019.673076923077,3904.672807087428
2019.6923076923076,3904.402030670765
2019.7115384615386,3904.1317870831717
2019.7307692307693,3903.8620807975285
2019.75,3903.5929162394837
2019.7692307692307,3903.32429778796
2019.7884615384614,3903.056229775373
2019.8076923076924,3902.788716488068
2019.826923076923,3902.5217621666106
2019.8461538461538,3902.255371006206
2019.8653846153845,3901.9895471569603
2019.8846153846155,3901.72429472427
2019.9038461538462,3901.4596177691624
2019.923076923077,3901.195520308593
2019.9423076923076,3900.9320063158334
2019.9615384615386,3900.66907972077
2019.9807692307693,3900.4067444101943
2020,3900.1450042281854
2020.0192307692307,3899.8838629764255
2020.0384615384614,3899.6233438419263
2020.0576923076924,3899.3634502438877
2020.076923076923,3899.1041855627086
2020.0961538461538,3898.8455531403974
2020.1153846153845,3898.587556280688
2020.1346153846155,3898.330198249492
2020.1538461538462,3898.0734822749973
2020.173076923077,3897.8174115481193
2020.1923076923076,3897.5619892226214
2020.2115384615386,3897.3072184154607
2020.2307692307693,3897.0531022070395
2020.25,3896.799643641518
2020.2692307692307,3896.546845726979
