year,cases
2019,1961.539483581806
2019.0192307692307,1961.7947455847168
2019.0384615384614,1962.0500992062857
2019.0576923076924,1962.3055457489497
2019.076923076923,1962.561086502509
2019.0961538461538,1962.8167227441859
2019.1153846153845,1963.0724557386557
2019.1346153846155,1963.3282867381702
2019.1538461538462,1963.5842169825887
2019.173076923077,1963.8402476994136
2019.1923076923076,1964.0963801039065
2019.2115384615386,1964.3526153991077
2019.2307692307693,1964.6089547759059
2019.25,1964.86539941311
2019.2692307692307,1965.1219504774883
2019.2884615384614,1965.3786091238496
2019.3076923076924,1965.635376495089
2019.326923076923,1965.8922537222459
2019.3461538461538,1966.149241924551
2019.3653846153845,1966.4063422095267
2019.3846153846155,1966.6635556729725
2019.4038461538462,1966.9208833991097
2019.423076923077,1967.178326460544
2019.4423076923076,1967.435885918394
2019.4615384615386,1967.6935628223139
2019.4807692307693,1967.9513582105626
2019.5,1968.2092731100286
2019.5192307692307,1968.4673085363402
2019.5384615384614,1968.7254654938572
2019.5576923076924,1968.9837449757656
2019.576923076923,1969.2421479641248
2019.5961538461538,1969.5006754299086
2019.6153846153845,1969.7593283330534
2019.6346153846155,1970.018107622574
2019.6538461538462,1970.277014236477
2019.673076923077,1970.5360491019749
2019.6923076923076,1970.7952131354277
2019.7115384615386,1971.054507242434
2019.7307692307693,1971.3139323178839
2019.75,1971.5734892459698
2019.7692307692307,1971.833178900312
2019.7884615384614,1972.0930021439397
2019.8076923076924,1972.352959829359
2019.826923076923,1972.613052798634
2019.8461538461538,1972.873281883373
2019.8653846153845,1973.1336479048473
2019.8846153846155,1973.394151673987
2019.9038461538462,1973.6547939914549
2019.923076923077,1973.9155756476825
2019.9423076923076,1974.1764974229382
2019.9615384615386,1974.4375600873211
2019.9807692307693,1974.6987644008816
2020,1974.9601111136478
2020.0192307692307,1975.2216009655933
2020.0384615384614,1975.4832346676537
2020.0576923076924,1975.7450129207275
2020.076923076923,1976.0069364157746
2020.0961538461538,1976.2690058338587
2020.1153846153845,1976.531221846167
2020.1346153846155,1976.7935851140699
2020.1538461538462,1977.0560962891536
2020.173076923077,1977.3187560132983
2020.1923076923076,1977.5815649186852
2020.2115384615386,1977.8445236278849
2020.2307692307693,1978.1076327538262
2020.25,1978.3708928999308
2020.2692307692307,1978.634304660078
2020.2884615384614,1978.8978686187168
2020.3076923076924,1979.1615853508379
2020.326923076923,1979.425455422103
2020.3461538461538,1979.6894793887896
2020.3653846153845,1979.9536577979109
2020.3846153846155,1980.2179911872456
2020.4038461538462,1980.4824800853269
2020.423076923077,1980.7471250115564
2020.4423076923076,1981.0119264762043
2020.4615384615386,1981.2768849804552
2020.4807692307693,1981.5420010164676
2020.5,1981.8072750673791
2020.5192307692307,1982.0727076074288
2020.5384615384614,1982.3382991018645
2020.5576923076924,1982.6040500071244
2020.576923076923,1982.8699607707983
2020.5961538461538,1983.136031831668
2020.6153846153845,1983.4022636198072
2020.6346153846155,1983.6686565565456
2020.6538461538462,1983.9352110545651
2020.673076923077,1984.2019275179225
2020.6923076923076,1984.4688063420767
2020.7115384615386,1984.7358479139791
2020.7307692307693,1985.0030526120458
2020.75,1985.2704208062644
2020.7692307692307,1985.5379528581684
2020.7884615384614,1985.8056491209459
2020.8076923076924,1986.0735099394299
2020.826923076923,1986.341535650183
2020.8461538461538,1986.609726581488
2020.8653846153845,1986.878083053429
2020.8846153846155,1987.1466053779188
2020.9038461538462,1987.4152938587315
2020.923076923077,1987.6841487915788
2020.9423076923076,1987.9531704640935
2020.9615384615386,1988.2223591559182
2020.9807692307693,1988.4917151387424
2021,1988.7612386763215
2021.0192307692307,1989.0309300245256
2021.0384615384614,1989.3007707870725
2021.0576923076924,1989.5707614515024
2021.076923076923,1989.8409024950636
2021.0961538461538,1990.1111943847825
2021.1153846153845,1990.3816375775575
2021.1346153846155,1990.6522325202018
2021.1538461538462,1990.9229796495292
2021.173076923077,1991.1938793923705
2021.1923076923076,1991.4649321657007
2021.2115384615386,1991.7361383766442
2021.2307692307693,1992.0074984225914
2021.25,1992.2790126912307
2021.2692307692307,1992.5506815606177
2021.2884615384614,1992.822505399241
2021.3076923076924,1993.0944845660933
2021.326923076923,1993.3666194107218
2021.3461538461538,1993.6389102732917
2021.3653846153845,1993.9113574846665
2021.3846153846155,1994.1839613664617
2021.4038461538462,1994.4567222310905
2021.423076923077,1994.7296403818448
2021.4423076923076,1995.0027161129588
2021.4615384615386,1995.2759497096738
2021.4807692307693,1995.5493414482867
2021.5,1995.8228915962095
2021.5192307692307,1996.096600412058
2021.5384615384614,1996.3704681456895
2021.5576923076924,1996.644495038331
2021.576923076923,1996.9186813226115
2021.5961538461538,1997.1930272226473
2021.6153846153845,1997.4675329540873
2021.6346153846155,1997.742198724198
2021.6538461538462,1998.0170247319002
2021.673076923077,1998.2920111678566
2021.6923076923076,1998.5671582144885
2021.7115384615386,1998.8424660460958
2021.7307692307693,1999.1179348288742
2021.75,1999.393564720978
2021.7692307692307,1999.6693558726172
2021.7884615384614,1999.9453084260576
2021.8076923076924,2000.2214225157506
2021.826923076923,2000.4976982683347
2021.8461538461538,2000.7741358027306
2021.8653846153845,2001.0507352301754
2021.8846153846155,2001.327496654315
2021.9038461538462,2001.6044201712277
2021.923076923077,2001.8815058695068
2021.9423076923076,2002.1587538303113
2021.9615384615386,2002.4361641274247
2021.9807692307693,2002.7137368273418
2022,2002.9914719892363
2022.0192307692307,2003.269369665174
2022.0384615384614,2003.5474040839988
2022.0576923076924,2003.825575596923
2022.076923076923,2004.103884545065
